Manufacturer,Model,,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch,Sales in thousands
Plymouth,Breeze           ,,9.8,Passenger,16.08,2,132,108,71,186.3,2.942,16,27,14-Nov-15,5.24
Volkswagen,GTI              ,,13.76,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,04-Jan-15,5.596
Mitsubishi,Diamante         ,,16.575,Passenger,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,28-Aug-14,5.711
Lexus,LS400            ,,40.375,Passenger,54.005,4,290,112.2,72,196.7,3.89,22.5,22,29-Mar-14,6.375
Cadillac,Eldorado         ,,25.725,Passenger,39.665,4.6,275,108,75.5,200.6,3.843,19,22,27-Nov-15,6.536
Chrysler,Sebring Coupe    ,,12.36,Passenger,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,16-Jan-14,7.854
Mercedes-Benz,SLK              ,,18.07297521,Passenger,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,16-Jan-15,7.998
Saturn,LW               ,,18.07297521,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,08-May-15,8.472
Acura,RL               ,,29.725,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,03-Oct-15,8.588
Porsche,Boxter           ,,41.25,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,19-Feb-14,8.982
Lexus,LX470            ,,18.07297521,Car,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,30-Oct-14,9.126
Saab,05-Sep,,18.07297521,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-Sep-14,9.191
BMW,328i             ,,28.675,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,29-Jan-14,9.231
Volkswagen,Cabrio           ,,16.575,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,31-May-15,9.569
Volkswagen,Golf             ,,11.425,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,24-Jan-15,9.761
Toyota,Land Cruiser     ,,34.08,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,25-Sep-15,9.835
Cadillac,Catera           ,,18.225,Passenger,31.01,3,200,107.4,70.3,194.8,3.77,18,22,28-Sep-15,11.185
Mitsubishi,Montero          ,,19.125,Car,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,17-Jan-14,11.337
Mercedes-Benz,CLK Coupe        ,,18.07297521,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,07-Aug-15,11.592
Saab,03-Sep,,18.07297521,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,06-Dec-15,12.115
Lexus,GS300            ,,32.075,Passenger,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,05-Oct-14,12.698
Honda,Passport         ,,17.525,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10-Sep-14,12.855
Chrysler,LHS              ,,17.325,Passenger,28.34,3.5,253,113,74.4,207.7,3.564,17,23,05-Aug-14,13.462
Lincoln,Continental      ,,20.525,Passenger,39.08,4.6,275,109,73.6,208.5,3.868,20,22,08-Mar-14,13.798
Acura,CL               ,,18.225,Passenger,,3.2,225,106.9,70.6,192,3.47,17.2,26,01-Apr-14,14.114
Mercury,Mystique         ,,8.8,Passenger,16.24,2,125,106.5,69.1,184.8,2.769,15,28,19-Dec-14,14.351
Oldsmobile,Aurora           ,,19.89,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,18-Feb-15,14.69
Cadillac,Escalade         ,,18.07297521,Car,46.225,5.7,255,117.5,77,201.2,5.572,30,15,17-Apr-14,14.785
Volvo,S70              ,,18.07297521,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,24-Nov-14,15.245
Jaguar,S-Type           ,,18.07297521,Passenger,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,11-Mar-14,15.467
Cadillac,Seville          ,,27.1,Passenger,44.475,4.6,275,112.2,75,201,,18.5,22,29-Apr-15,15.943
Dodge,Ram Wagon        ,,15.51,Car,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,01-Jun-14,16.767
Mercedes-Benz,S-Class          ,,50.375,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,13-Jun-15,16.774
Acura,Integra          ,,16.36,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,02-Feb-14,16.919
Volvo,S40              ,,18.07297521,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,18-Feb-15,16.957
BMW,528i             ,,36.125,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,04-Apr-15,17.527
Volvo,V70              ,,18.07297521,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,25-Jun-15,17.531
Chevrolet,Corvette         ,,36.225,Passenger,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,05-Dec-14,17.947
Mercedes-Benz,C-Class          ,,26.05,Passenger,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,24-Apr-15,18.392
Audi,A6               ,,23.555,Passenger,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,08-Sep-15,18.78
Volvo,S80              ,,18.07297521,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,14-Nov-15,18.969
BMW,323i             ,,18.07297521,Passenger,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,28-Jun-15,19.747
Pontiac,Firebird         ,,17.805,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,16-Jun-14,19.911
Oldsmobile,Bravada          ,,19.925,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,21-Sep-15,20.017
Mercury,Villager         ,,14.795,Car,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,20-Oct-09,20.38
Audi,A4               ,,22.255,Passenger,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,10-Aug-15,20.397
Chevrolet,Metro            ,,5.16,Passenger,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,13-Apr-14,21.855
Lincoln,Navigator        ,,18.07297521,Car,42.66,5.4,300,119,79.9,204.8,5.393,30,15,23-Dec-14,22.925
Infiniti,I30              ,,19.69,Passenger,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,15-Apr-14,23.713
Lexus,ES300            ,,26.975,Passenger,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,07-Sep-14,24.072
Plymouth,Voyager          ,,12.025,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,24-Apr-15,24.155
Oldsmobile,Silhouette       ,,15.24,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,25-Jun-15,24.361
Saturn,SC               ,,10.59,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,16-Mar-15,24.546
Chevrolet,Lumina           ,,10.31,Passenger,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,24-May-15,24.629
Toyota,RAV4             ,,13.325,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,05-Jun-15,25.106
Mitsubishi,Mirage           ,,8.325,Passenger,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,23-Apr-14,26.232
Chevrolet,Camaro           ,,13.025,Passenger,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,23-Oct-15,26.402
Mercury,Cougar           ,,13.89,Passenger,16.54,2,125,106.4,69.6,185,2.892,16,30,23-Feb-14,26.529
Nissan,Quest            ,,15.38,Car,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,03-Jul-15,27.308
Mercedes-Benz,E-Class          ,,41.45,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,07-Dec-15,27.602
Mercury,Mountaineer      ,,20.43,Car,27.56,4,210,111.6,70.2,190.1,3.876,21,18,13-Feb-08,27.609
Buick,Park Avenue      ,,20.19,Passenger,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,23-Mar-14,27.851
Mercedes-Benz,M-Class          ,,18.07297521,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,02-Oct-15,28.976
Hyundai,Sonata           ,,8.91,Passenger,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,14-Jun-14,29.45
Chrysler,300M             ,,18.07297521,Passenger,29.185,3.5,253,113,74.4,197.8,3.567,17,23,02-Oct-14,30.696
Dodge,Ram Van          ,,13.425,Car,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,26-Jul-14,31.038
Chrysler,Concorde         ,,13.725,Passenger,22.245,2.7,200,113,74.4,209.1,3.452,17,26,06-Jun-14,31.148
Chevrolet,Prizm            ,,9.125,Passenger,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,09-Nov-15,32.299
Chrysler,Cirrus           ,,12.64,Passenger,16.48,2,132,108,71,186,2.911,16,27,10-Jun-15,32.306
Plymouth,Neon             ,,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,26-Apr-15,32.734
Chrysler,Sebring Conv.    ,,14.18,Passenger,24.495,2.5,168,106,69.2,193,3.332,16,24,17-Nov-15,32.775
Subaru,Forester         ,,18.07297521,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,09-Oct-14,33.028
Toyota,Celica           ,,15.445,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,29-Dec-14,33.269
Ford,Contour          ,,8.835,Passenger,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,20-Aug-14,35.068
Pontiac,Bonneville       ,,13.225,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,18-May-15,35.945
Oldsmobile,Intrigue         ,,18.07297521,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,,04-Jan-15,38.554
Mitsubishi,Montero Sport    ,,13.88,Car,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,18-May-14,39.348
Buick,Regal            ,,13.74,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,09-Mar-15,39.35
Acura,TL               ,,19.875,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,06-Mar-15,39.384
Pontiac,Montana          ,,18.07297521,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,22-Jul-14,39.572
Hyundai,Accent           ,,5.86,Passenger,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,09-Oct-14,41.184
Mitsubishi,Eclipse          ,,10.395,Passenger,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,24-Nov-14,42.541
Nissan,Pathfinder       ,,17.81,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,25-Sep-15,42.574
Chevrolet,Monte Carlo      ,,11.525,Passenger,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,22-Dec-15,42.593
Nissan,Sentra           ,,8.45,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,31-Aug-15,42.643
Subaru,Outback          ,,18.07297521,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,07-Jul-15,47.107
Lincoln,Town car         ,,21.725,Passenger,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,06-Apr-14,48.911
Volkswagen,Beetle           ,,18.07297521,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,20-Oct-15,49.463
Saturn,LS               ,,18.07297521,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12-Apr-14,49.989
Volkswagen,Passat           ,,16.725,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,30-Oct-14,51.102
Lexus,RX300            ,,18.07297521,Car,34.605,3,220,103,71.5,180.1,3.9,17.2,21,01-Apr-14,51.238
Pontiac,Sunfire          ,,13.79,Passenger,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,25-Jan-14,51.645
Chrysler,Town & Country   ,,19.54,Car,,,185.9487179,,,,,,,13-Jul-15,53.48
Nissan,Xterra           ,,18.07297521,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,24-Jan-15,54.158
Jeep,Wrangler         ,,13.475,Car,14.46,2.5,120,93.4,66.7,152,3.045,19,17,03-Apr-14,55.557
Mitsubishi,Galant           ,,10.595,Passenger,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,29-Jan-14,55.616
Ford,Crown Victoria   ,,14.21,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,26-Sep-15,63.403
Cadillac,DeVille          ,,22.525,Passenger,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,23-Feb-14,63.729
Toyota,Avalon           ,,18.14,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,31-Aug-15,63.849
Nissan,Frontier         ,,18.07297521,Car,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,27-Aug-15,65.005
Toyota,Sienna           ,,18.07297521,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,10-May-14,65.119
Hyundai,Elantra          ,,7.825,Passenger,11.799,2,140,100.4,66.9,174,2.626,14.5,27,15-Nov-15,66.692
Mercury,Sable            ,,11.03,Passenger,19.035,3,153,108.5,73,199.7,3.379,16,24,22-Sep-14,67.956
Toyota,4Runner          ,,19.425,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,03-Jul-15,68.411
Ford,Escort           ,,7.425,Passenger,12.07,2,110,98.4,67,174.7,2.468,12.7,30,31-Mar-14,70.227
Dodge,Stratus          ,,10.185,Passenger,20.23,2.5,168,108,71,186,3.058,16,24,31-Oct-15,71.186
Honda,CR-V             ,,17.71,Car,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,21-Mar-14,73.203
Honda,Odyssey          ,,19.49,Car,26,3.5,210,118.1,75.6,201.2,4.288,20,23,02-Aug-14,76.029
Dodge,Neon             ,,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.567,12.5,29,12-Dec-15,76.034
Nissan,Maxima           ,,15.125,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,05-Jun-15,79.853
Oldsmobile,Alero            ,,18.07297521,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,20-Oct-09,80.255
Jeep,Cherokee         ,,13.775,Car,21.62,4,190,101.4,69.4,167.5,3.194,20,20,10-May-14,80.556
Saturn,SL               ,,9.2,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,16-Aug-14,80.62
Mercury,Grand Marquis    ,,14.875,Passenger,22.605,4.6,200,114.7,78.2,212,3.958,19,21,24-Jul-14,81.174
Buick,LeSabre          ,,13.36,Passenger,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,23-Jul-15,83.257
Volkswagen,Jetta            ,,13.24,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,27-Aug-15,83.721
Toyota,Tacoma           ,,9.575,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,08-Jan-15,84.087
Dodge,Intrepid         ,,12.275,Passenger,22.505,2.7,202,113,74.7,203.7,3.489,17,,06-Feb-14,88.028
Nissan,Altima           ,,11.295,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,08-Feb-15,88.094
Buick,Century          ,,12.475,Passenger,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,11-Feb-15,91.561
Pontiac,Grand Prix       ,,14.01,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,15-Oct-14,92.364
Dodge,Durango          ,,18.07297521,Car,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,27-Jun-14,101.323
Chevrolet,Impala           ,,18.07297521,Passenger,18.89,3.4,180,110.5,73,200,3.389,17,27,18-Jun-15,107.995
Dodge,Dakota           ,,11.26,Car,16.98,2.5,120,131,71.5,215,3.557,22,19,25-Nov-15,111.313
Ford,Mustang          ,,12.76,Passenger,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,31-Jan-14,113.369
Ford,Expedition       ,,23.575,Car,36.135,4.6,240,119,78.7,204.6,4.808,26,16,14-Sep-14,125.338
Pontiac,Grand Am         ,,10.29,Passenger,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,26-Nov-14,131.097
Chevrolet,Malibu           ,,11.225,Passenger,16.535,3.1,170,107,69.4,190.4,3.051,15,25,19-Mar-14,135.126
Toyota,Corolla          ,,10.025,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,04-Nov-15,142.535
Chevrolet,Cavalier         ,,9.25,Passenger,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,17-Aug-15,145.519
Ford,Windstar         ,,13.175,Car,21.41,3,150,120.7,76.6,200.9,3.761,26,21,25-Feb-14,155.787
Jeep,Grand Cherokee   ,,18.81,Car,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,12-Oct-15,157.04
Ford,Focus            ,,18.07297521,Passenger,12.315,2,107,103,66.9,174.8,2.564,13.2,30,22-Jul-14,175.67
Dodge,Caravan          ,,12.025,Car,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,09-Jan-15,181.749
Honda,Civic            ,,9.85,Passenger,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,21-Oct-15,199.685
Ford,Ranger           ,,7.85,Car,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,14-Jan-14,220.65
Dodge,Ram Pickup       ,,15.06,Car,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,03-Jun-14,227.061
Honda,Accord           ,,13.21,Passenger,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,20-May-14,230.902
Ford,Taurus           ,,10.055,Passenger,17.885,3,155,108.5,73,197.6,3.368,16,24,20-Dec-15,245.815
Toyota,Camry            ,,13.245,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,02-Oct-15,247.994
Ford,Explorer         ,,16.64,Car,31.93,4,210,111.6,70.2,190.7,3.876,21,19,25-Apr-14,276.747
Ford,F-Series         ,,15.075,Car,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,16-Aug-14,540.561
